339.67	0.00
340.05	101.00
340.44	151.67
340.82	152.67
341.20	154.00
341.58	155.67
341.96	156.00
342.35	158.00
342.73	160.33
343.11	160.33
343.49	161.33
343.87	160.33
344.25	161.67
344.63	160.00
345.02	160.00
345.40	158.00
345.78	158.33
346.16	158.00
346.54	159.67
346.92	161.67
347.30	163.00
347.69	163.33
348.07	162.00
348.45	161.33
348.83	161.67
349.21	162.67
349.59	164.67
349.97	164.67
350.35	163.67
350.73	161.00
351.11	162.33
351.50	163.33
351.88	164.33
352.26	163.67
352.64	164.00
353.02	162.67
353.40	162.00
353.78	161.33
354.16	162.00
354.54	161.33
354.92	160.33
355.30	160.33
355.68	161.00
356.06	163.00
356.44	164.00
356.82	165.00
357.20	164.00
357.58	162.67
357.96	161.00
358.34	160.00
358.72	160.00
359.10	160.00
359.48	161.67
359.86	163.00
360.24	165.33
360.62	165.33
361.00	165.33
361.38	164.00
361.76	162.33
362.14	161.67
362.52	160.67
362.90	161.67
363.28	161.00
363.66	162.00
364.04	162.00
364.42	163.00
364.80	164.00
365.18	165.00
365.56	164.33
365.94	163.00
366.32	163.33
366.70	164.33
367.08	164.67
367.46	163.00
367.83	162.33
368.21	164.33
368.59	164.67
368.97	165.00
369.35	163.67
369.73	164.33
370.11	164.33
370.49	164.00
370.87	165.00
371.25	167.00
371.62	168.33
372.00	168.33
372.38	167.00
372.76	165.33
373.14	163.33
373.52	163.00
373.90	163.67
374.27	163.00
374.65	165.00
375.03	165.33
375.41	165.67
375.79	162.00
376.17	161.33
376.55	162.00
376.92	164.33
377.30	165.00
377.68	166.67
378.06	166.67
378.44	166.67
378.81	165.33
379.19	164.33
379.57	163.67
379.95	163.67
380.33	164.33
380.70	164.33
381.08	164.00
381.46	163.00
381.84	163.00
382.22	163.67
382.59	165.67
382.97	166.33
383.35	165.33
383.73	165.67
384.10	165.00
384.48	165.67
384.86	164.00
385.24	163.67
385.61	164.00
385.99	163.67
386.37	164.00
386.74	163.00
387.12	164.67
387.50	164.67
387.88	166.67
388.25	169.33
388.63	177.00
389.01	191.33
389.38	219.00
389.76	248.00
390.14	264.33
390.52	250.33
390.89	218.67
391.27	189.33
391.65	172.67
392.02	168.00
392.40	167.67
392.78	166.33
393.15	166.67
393.53	165.33
393.91	164.67
394.28	164.00
394.66	162.33
395.04	163.33
395.41	164.67
395.79	165.67
396.16	166.67
396.54	165.67
396.92	166.33
397.29	166.33
397.67	168.67
398.05	170.33
398.42	171.00
398.80	169.00
399.17	166.00
399.55	164.67
399.93	165.33
400.30	167.67
400.68	167.00
401.05	166.33
401.43	165.33
401.80	167.00
402.18	170.33
402.56	171.67
402.93	171.67
403.31	170.33
403.68	170.33
404.06	171.67
404.43	171.33
404.81	169.00
405.18	168.33
